ID_AMP_NM;ID_VMP_NM;ID_VTM_NM;ID_INTERVAL_COST;ID_BNF;ID_PRACTICE;ID_TIME;TOTAL_ITEMS;TOTAL_QUANTITY;GROSS_COST;ACTUAL_COST
;;;244758;405;1;25;22;0;843,63;825,761579
17884;13;;15787;299;1;25;2;30;15,9;15,9
17885;14;;6841;299;1;25;1;10;6,9;6,9
21074;30;;47560;299;1;25;4;695;48,65;48,65
21080;36;;8335;299;1;25;5;210;8,4;8,4
5188;93;;16385;377;1;25;1;100;16,5;14,89785
20817;224;;72296;346;1;25;1;1;76,9;69,4407
6092;262;;4416;233;1;25;1;50;4,46;4,02961
22125;264;;7041;233;1;25;1;100;7,1;6,41485
10959;266;;5629;233;1;25;1;1;5,68;5,12336
10963;266;;22543;233;1;25;4;4;22,72;20,584888
5677;464;;208656;129;1;25;13;1450;466,61;420,563638
5766;464;;69614;129;1;25;3;250;73,65;66,401367
7983;464;;167436;129;1;25;5;900;270,72;244,822624
7985;464;;96478;129;1;25;6;550;109,45;97,87019
7984;464;;9428;129;1;25;1;50;9,5;8,58325
10513;464;;31847;129;1;25;1;100;32,2;29,0927
10517;464;;15987;129;1;25;1;50;16,1;14,57211
11276;464;;109064;129;1;25;9;650;129,35;116,589125
11267;464;;31182;129;1;25;1;100;31,52;28,80928
19657;464;;29666;129;1;25;2;150;29,97;26,867106
19659;464;;142001;129;1;25;5;650;196,56;177,873192
20811;464;;103031;129;1;25;3;600;119,4;107,50577
25046;464;;19690;129;1;25;1;100;19,84;17,643712
26513;464;;11064;129;1;25;1;56;11,144;10,165557
18185;465;;175431;129;1;25;8;1500;299,7;270,990738
11268;468;;41398;129;1;25;1;20;42,12;37,99224
18337;1028;;174315;383;1;25;1;90;295,47;295,47
20685;1028;;157921;383;1;25;1;80;240,24;240,24
22536;1028;;133462;383;1;25;1;60;176,36;176,36
;1033;;15052;333;1;25;1;4;15,16;13,724348
;1033;;37349;333;1;25;3;10;37,9;34,531448
;1043;;27218;334;1;25;1;2;27,47;24,429071
;1044;;21987;334;1;25;1;4;22,16;22,16
;1052;;12240;334;1;25;1;2;12,33;11,150019
22791;1372;;2269;320;1;25;1;2;2,3;2,05298
22791;1372;;5895;320;1;25;6;7;5,95;5,367325
22791;1372;;4554;320;1;25;4;4;4,6;4,121715
22791;1372;;2519;320;1;25;2;3;2,55;2,27851
22791;1372;;1676;320;1;25;2;2;1,7;1,510705
22791;1372;;2419;320;1;25;1;1;2,45;2,178785
