ID_POSTCODE;POSTCODE;ID_LCG;VERSION;DATE_FROM;DATE_TO
1;BT42 2PB;3;1;2018-11-05;2018-11-05
2;BT79 0NR;5;1;2018-11-05;2018-11-05
3;BT35 7AW;4;1;2018-11-05;2018-11-05
4;BT4 1GW;1;1;2018-11-05;2018-11-05
5;BT42 1LE;3;1;2018-11-05;2018-11-05
6;BT43 6HQ;3;1;2018-11-05;2018-11-05
7;BT44 0AB;3;1;2018-11-05;2018-11-05
8;BT35 8SJ;4;1;2018-11-05;2018-11-05
9;BT92 6JT;5;1;2018-11-05;2018-11-05
10;BT93 0AR;5;1;2018-11-05;2018-11-05
11;BT92 7LT;5;1;2018-11-05;2018-11-05
12;BT94 4PB;5;1;2018-11-05;2018-11-05
13;BT94 3LU;5;1;2018-11-05;2018-11-05
14;BT78 4BW;5;1;2018-11-05;2018-11-05
15;BT79 7BA;5;1;2018-11-05;2018-11-05
16;BT5 5FB;1;1;2018-11-05;2018-11-05
17;BT8 8HR;1;1;2018-11-05;2018-11-05
18;BT5 4PX;1;1;2018-11-05;2018-11-05
19;BT4 3HZ;1;1;2018-11-05;2018-11-05
20;BT4 1NT;1;1;2018-11-05;2018-11-05
21;BT4 3LH;1;1;2018-11-05;2018-11-05
22;BT5 4ES;1;1;2018-11-05;2018-11-05
23;BT5 5DY;1;1;2018-11-05;2018-11-05
24;BT5 4NH;1;1;2018-11-05;2018-11-05
25;BT4 1NS;1;1;2018-11-05;2018-11-05
26;BT5 7LH;1;1;2018-11-05;2018-11-05
27;BT5 4FT;1;1;2018-11-05;2018-11-05
28;BT16 2LN;1;1;2018-11-05;2018-11-05
29;BT5 5FP;1;1;2018-11-05;2018-11-05
30;BT6 9DL;1;1;2018-11-05;2018-11-05
31;BT5 7BP;1;1;2018-11-05;2018-11-05
32;BT13 1RU;1;1;2018-11-05;2018-11-05
33;BT12 6DD;1;1;2018-11-05;2018-11-05
34;BT12 4HL;1;1;2018-11-05;2018-11-05
35;BT15 1HS;1;1;2018-11-05;2018-11-05
36;BT15 2GE;1;1;2018-11-05;2018-11-05
37;BT1 2JR;1;1;2018-11-05;2018-11-05
38;BT12 4LP;1;1;2018-11-05;2018-11-05
39;BT13 2BD;1;1;2018-11-05;2018-11-05
40;BT14 7DA;1;1;2018-11-05;2018-11-05
41;BT14 7QR;1;1;2018-11-05;2018-11-05
42;BT12 7DP;1;1;2018-11-05;2018-11-05
43;BT14 7GB;1;1;2018-11-05;2018-11-05
44;BT14 6AR;1;1;2018-11-05;2018-11-05
45;BT15 2GH;1;1;2018-11-05;2018-11-05
46;BT12 5LT;1;1;2018-11-05;2018-11-05
47;BT14 6QG;1;1;2018-11-05;2018-11-05
48;BT12 7AH;1;1;2018-11-05;2018-11-05
49;BT15 3HF;1;1;2018-11-05;2018-11-05
50;BT12 6AG;1;1;2018-11-05;2018-11-05
51;BT15 3BS;1;1;2018-11-05;2018-11-05
52;BT15 5GF;1;1;2018-11-05;2018-11-05
53;BT14 6JN;1;1;2018-11-05;2018-11-05
54;BT12 6AA;1;1;2018-11-05;2018-11-05
55;BT14 8BY;1;1;2018-11-05;2018-11-05
56;BT12 5EY;1;1;2018-11-05;2018-11-05
57;BT13 1AD;1;1;2018-11-05;2018-11-05
58;BT13 3BW;1;1;2018-11-05;2018-11-05
59;BT13 1FD;1;1;2018-11-05;2018-11-05
60;BT12 6AP;1;1;2018-11-05;2018-11-05
61;BT11 9FZ;1;1;2018-11-05;2018-11-05
62;BT12 7AP;1;1;2018-11-05;2018-11-05
63;BT8 6GR;1;1;2018-11-05;2018-11-05
64;BT9 7HR;1;1;2018-11-05;2018-11-05
65;BT6 8DR;1;1;2018-11-05;2018-11-05
66;BT12 5JJ;1;1;2018-11-05;2018-11-05
67;BT9 6GR;1;1;2018-11-05;2018-11-05
68;BT7 3GG;1;1;2018-11-05;2018-11-05
69;BT6 9EY;1;1;2018-11-05;2018-11-05
70;BT10 0BX;1;1;2018-11-05;2018-11-05
71;BT7 2EB;1;1;2018-11-05;2018-11-05
72;BT7 1HH;1;1;2018-11-05;2018-11-05
73;BT11 9EA;1;1;2018-11-05;2018-11-05
74;BT7 1NP;1;1;2018-11-05;2018-11-05
75;BT7 3GR;1;1;2018-11-05;2018-11-05
76;BT9 6AA;1;1;2018-11-05;2018-11-05
77;BT6 9HL;1;1;2018-11-05;2018-11-05
78;BT7 2GG;1;1;2018-11-05;2018-11-05
79;BT7 1JL;1;1;2018-11-05;2018-11-05
80;BT24 8AY;2;1;2018-11-05;2018-11-05
81;BT30 9RG;2;1;2018-11-05;2018-11-05
82;BT33 0NA;2;1;2018-11-05;2018-11-05
83;BT33 0DN;2;1;2018-11-05;2018-11-05
84;BT30 7SF;2;1;2018-11-05;2018-11-05
85;BT24 7AD;2;1;2018-11-05;2018-11-05
86;BT33 0AE;2;1;2018-11-05;2018-11-05
87;BT30 6BE;2;1;2018-11-05;2018-11-05
88;BT30 9JU;2;1;2018-11-05;2018-11-05
89;BT30 6RL;2;1;2018-11-05;2018-11-05
90;BT30 6DE;2;1;2018-11-05;2018-11-05
91;BT26 6AW;2;1;2018-11-05;2018-11-05
92;BT17 0FB;2;1;2018-11-05;2018-11-05
93;BT25 2AT;2;1;2018-11-05;2018-11-05
94;BT17 9AL;2;1;2018-11-05;2018-11-05
95;BT29 4LN;2;1;2018-11-05;2018-11-05
96;BT28 1LU;2;1;2018-11-05;2018-11-05
97;BT18 9AD;2;1;2018-11-05;2018-11-05
98;BT23 6AW;2;1;2018-11-05;2018-11-05
99;BT20 5PE;2;1;2018-11-05;2018-11-05
100;BT18 9DA;2;1;2018-11-05;2018-11-05
101;BT23 5AU;2;1;2018-11-05;2018-11-05
102;BT19 6EU;2;1;2018-11-05;2018-11-05
103;BT23 4AS;2;1;2018-11-05;2018-11-05
104;BT23 5DT;2;1;2018-11-05;2018-11-05
105;BT23 5BA;2;1;2018-11-05;2018-11-05
106;BT20 4XA;2;1;2018-11-05;2018-11-05
107;BT23 4LR;2;1;2018-11-05;2018-11-05
108;BT21 0BU;2;1;2018-11-05;2018-11-05
109;BT22 1QT;2;1;2018-11-05;2018-11-05
110;BT20 4LD;2;1;2018-11-05;2018-11-05
111;BT20 3EB;2;1;2018-11-05;2018-11-05
112;BT22 2PY;2;1;2018-11-05;2018-11-05
113;BT22 2SP;2;1;2018-11-05;2018-11-05
114;BT23 4FH;2;1;2018-11-05;2018-11-05
115;BT23 7PZ;2;1;2018-11-05;2018-11-05
116;BT39 0AZ;3;1;2018-11-05;2018-11-05
117;BT29 4LA;3;1;2018-11-05;2018-11-05
118;BT41 4HR;3;1;2018-11-05;2018-11-05
119;BT42 1NW;3;1;2018-11-05;2018-11-05
120;BT42 1AA;3;1;2018-11-05;2018-11-05
121;BT43 5BA;3;1;2018-11-05;2018-11-05
122;BT42 4JA;3;1;2018-11-05;2018-11-05
123;BT44 8AD;3;1;2018-11-05;2018-11-05
124;BT43 5HB;3;1;2018-11-05;2018-11-05
125;BT42 3JU;3;1;2018-11-05;2018-11-05
126;BT42 1GP;3;1;2018-11-05;2018-11-05
127;BT41 4BS;3;1;2018-11-05;2018-11-05
128;BT43 6HB;3;1;2018-11-05;2018-11-05
