ID_AMP_NM;ID_VMP_NM;ID_VTM_NM;ID_INTERVAL_COST;ID_BNF;ID_PRACTICE;ID_TIME;TOTAL_ITEMS;TOTAL_QUANTITY;GROSS_COST;ACTUAL_COST
;311;92;14179;52;1;13;7;392;14,28;12,91
;313;92;27120;52;1;13;10;644;27,37;24,68
;315;92;1862;52;1;13;1;28;1,89;1,72
;331;96;2179;163;1;13;1;56;2,21;2,0
;346;102;6383;204;1;13;1;600;6,44;5,73
;348;104;55974;53;1;13;2;112;57,84;52,24
21565;354;105;16831;58;1;13;1;1;16,95;15,07
21564;356;105;17088;58;1;13;1;1;17,21;15,3
6966;367;105;3659;58;1;13;1;1;3,7;3,29
;374;108;10484;31;1;13;7;448;10,56;9,46
;393;117;51159;248;1;13;1;120;52,56;52,56
9035;393;117;13046;248;1;13;1;30;13,14;13,14
8761;398;119;4196;229;1;13;1;1;4,24;3,77
;403;122;486;85;1;13;1;30;0,5;0,44
22736;403;122;4475;85;1;13;1;30;4,52;4,02
;404;122;2020;85;1;13;2;140;2,05;1,82
;425;124;8544;242;1;13;2;90;8,61;7,74
5957;425;124;5429;242;1;13;2;130;5,48;4,99
10735;422;127;25298;242;1;13;3;120;25,52;22,87
;436;132;13344;168;1;13;1;84;13,44;12,09
;437;132;5320;168;1;13;1;84;5,37;4,85
16683;440;135;34676;212;1;13;1;9;35,13;31,23
10862;441;136;13850;212;1;13;1;3;13,95;12,4
;447;138;3619;17;1;13;2;112;3,66;3,25
;450;140;3439;37;1;13;4;112;3,48;3,14
;453;140;16472;37;1;13;10;588;16,59;14,91
;454;140;33040;37;1;13;22;1200;33,43;30,01
;458;140;30432;37;1;13;18;1148;30,75;27,73
;459;140;12866;37;1;13;3;84;12,96;11,73
5748;477;144;20599;212;1;13;2;15;20,76;18,95
5746;476;146;21927;212;1;13;1;10;22,1;19,68
21482;494;150;23481;58;1;13;1;2;23,68;21,51
;490;151;71554;58;1;13;1;2;76,0;68,61
