ID_AMP_NM;ID_VMP_NM;ID_VTM_NM;ID_INTERVAL_COST;ID_BNF;ID_PRACTICE;ID_TIME;TOTAL_ITEMS;TOTAL_QUANTITY;GROSS_COST;ACTUAL_COST
;;;156143;405;1;1;8,0;0,0;234,96;216,46
17884;13;;7358;299;1;1;1,0;14,0;7,42;7,42
4806;126;;48273;299;1;1;1,0;14,0;49,42;49,42
5677;464;;46372;129;1;1;2,0;150,0;47,37;42,85
7983;464;;29774;129;1;1;1,0;100,0;30,08;26,72
7985;464;;15122;129;1;1;1,0;50,0;15,23;13,68
18185;465;;144462;129;1;1;3,0;624,0;202,68;181,76
6573;859;;5160;147;1;1;1,0;1,0;5,21;4,71
9702;1028;;68456;383;1;1;1,0;30,0;72,26;72,26
20685;1028;;133706;383;1;1;2,0;60,0;176,88;176,88
22536;1028;;164225;383;1;1;2,0;90,0;260,22;260,22
22791;1372;;2519;320;1;1;3,0;3,0;2,55;2,26
23517;1416;;28286;365;1;1;1,0;20,0;28,56;28,56
25436;1502;;25693;307;1;1;2,0;4,0;25,92;22,94
25427;1561;;20619;307;1;1;1,0;2,0;20,78;18,49
15767;1571;;64993;298;1;1;1,0;30,0;68,1;60,27
;1696;;24764;146;1;1;1,0;1,0;24,98;22,69
6038;1928;;25427;325;1;1;1,0;3,0;25,65;25,65
5153;2052;;8634;24;1;1;2,0;60,0;8,7;7,93
5160;2055;;6722;23;1;1;1,0;36,0;6,78;6,25
5657;2075;;13374;238;1;1;2,0;750,0;13,47;12,04
5659;2077;;26415;238;1;1;2,0;800,0;26,65;23,79
5661;2078;;6603;238;1;1;1,0;500,0;6,66;5,92
6091;2112;;11259;233;1;1;1,0;1000,0;11,34;10,07
6522;2121;;21273;176;1;1;1,0;2,0;21,44;18,97
6590;2125;;9309;254;1;1;2,0;500,0;9,38;8,33
6817;2132;;4056;223;1;1;2,0;22,0;4,1;3,72
7652;2144;;5410;177;1;1;1,0;7,0;5,46;4,88
8672;2168;;14100;238;1;1;2,0;800,0;14,2;12,62
8673;2169;;103884;238;1;1;13,0;10000,0;120,8;108,88
8674;2170;;7488;238;1;1;1,0;600,0;7,55;6,71
8676;2171;;6573;238;1;1;1,0;500,0;6,63;5,95
8808;2177;;23876;238;1;1;4,0;1700,0;24,08;21,61
9103;2184;;27394;238;1;1;5,0;2350,0;27,65;24,63
9107;2187;;3153;238;1;1;1,0;250,0;3,19;2,83
9108;2188;;4455;238;1;1;1,0;500,0;4,5;3,98
9368;2198;;9130;134;1;1;1,0;84,0;9,2;8,48
9541;2213;;77962;177;1;1;1,0;60,0;84,0;75,78
9885;2226;;32886;134;1;1;1,0;24,0;33,27;29,55
10344;2248;;54803;176;1;1;1,0;28,0;56,56;50,24
10385;2257;;73483;177;1;1;2,0;56,0;78,4;69,38
16560;2386;;7577;148;1;1;1,0;126,0;7,64;6,79
18377;2427;;29814;177;1;1;1,0;2,0;30,12;30,12
19413;2448;;80284;176;1;1;2,0;8,0;86,96;86,96
21509;2598;;24963;148;1;1;1,0;84,0;25,18;22,8
24773;2671;;2119;239;1;1;1,0;125,0;2,15;1,96
25613;2722;;4754;238;1;1;1,0;500,0;4,8;4,26
25633;3048;;23307;126;1;1;2,0;200,0;23,5;20,87
19319;3057;;18345;126;1;1;2,0;200,0;18,48;16,72
