POSTCODE,ID_LCG,DATE_FROM,DATE_TO,VERSION
BT42 4JA,3,2018-11-05,2018-11-05,1
BT44 8AD,3,2018-11-05,2018-11-05,1
BT43 5HB,3,2018-11-05,2018-11-05,1
BT42 3JU,3,2018-11-05,2018-11-05,1
BT42 1GP,3,2018-11-05,2018-11-05,1
BT41 4BS,3,2018-11-05,2018-11-05,1
BT43 6HB,3,2018-11-05,2018-11-05,1
BT41 3TF,3,2018-11-05,2018-11-05,1
BT41 3AE,3,2018-11-05,2018-11-05,1
BT36 4PP,3,2018-11-05,2018-11-05,1
BT36 5EQ,3,2018-11-05,2018-11-05,1
BT51 3HP,3,2018-11-05,2018-11-05,1
BT53 6HB,3,2018-11-05,2018-11-05,1
BT52 1JX,3,2018-11-05,2018-11-05,1
BT53 8TY,3,2018-11-05,2018-11-05,1
BT57 8QP,3,2018-11-05,2018-11-05,1
BT56 8DW,3,2018-11-05,2018-11-05,1
BT51 5AE,3,2018-11-05,2018-11-05,1
BT55 7EF,3,2018-11-05,2018-11-05,1
BT51 5QP,3,2018-11-05,2018-11-05,1
BT52 1JB,3,2018-11-05,2018-11-05,1
BT44 0TE,3,2018-11-05,2018-11-05,1
BT51 4TW,3,2018-11-05,2018-11-05,1
BT44 8QB,3,2018-11-05,2018-11-05,1
BT53 6HH,3,2018-11-05,2018-11-05,1
BT44 9LF,3,2018-11-05,2018-11-05,1
BT54 6BA,3,2018-11-05,2018-11-05,1
BT55 7SW,3,2018-11-05,2018-11-05,1
BT38 9TG,3,2018-11-05,2018-11-05,1
BT38 8TP,3,2018-11-05,2018-11-05,1
BT38 7HT,3,2018-11-05,2018-11-05,1
BT40 1XH,3,2018-11-05,2018-11-05,1
BT40 1PB,3,2018-11-05,2018-11-05,1
BT43 6JD,3,2018-11-05,2018-11-05,1
BT43 5AF,3,2018-11-05,2018-11-05,1
BT80 8BN,3,2018-11-05,2018-11-05,1
BT45 7AG,3,2018-11-05,2018-11-05,1
BT80 0DP,3,2018-11-05,2018-11-05,1
BT45 5DD,3,2018-11-05,2018-11-05,1
BT80 8BH,3,2018-11-05,2018-11-05,1
BT71 5HY,3,2018-11-05,2018-11-05,1
BT46 5EA,3,2018-11-05,2018-11-05,1
BT45 6ED,3,2018-11-05,2018-11-05,1
BT80 8PE,3,2018-11-05,2018-11-05,1
BT45 8AZ,3,2018-11-05,2018-11-05,1
BT45 6BL,3,2018-11-05,2018-11-05,1
BT45 7LJ,3,2018-11-05,2018-11-05,1
BT37 9UH,3,2018-11-05,2018-11-05,1
BT39 9HL,3,2018-11-05,2018-11-05,1
BT37 9QW,3,2018-11-05,2018-11-05,1
BT36 7XX,3,2018-11-05,2018-11-05,1
BT37 9QN,3,2018-11-05,2018-11-05,1
BT32 3NQ,4,2018-11-05,2018-11-05,1
BT63 6JS,4,2018-11-05,2018-11-05,1
BT66 6BW,4,2018-11-05,2018-11-05,1
BT66 7LR,4,2018-11-05,2018-11-05,1
BT66 8BA,4,2018-11-05,2018-11-05,1
BT66 8DW,4,2018-11-05,2018-11-05,1
BT67 9AA,4,2018-11-05,2018-11-05,1
BT66 6JB,4,2018-11-05,2018-11-05,1
BT32 3GN,4,2018-11-05,2018-11-05,1
BT32 3NH,4,2018-11-05,2018-11-05,1
BT67 0LQ,2,2018-11-05,2018-11-05,1
BT25 1BD,4,2018-11-05,2018-11-05,1
BT67 0DD,2,2018-11-05,2018-11-05,1
BT31 9TU,4,2018-11-05,2018-11-05,1
BT62 3BU,4,2018-11-05,2018-11-05,1
BT67 9BW,4,2018-11-05,2018-11-05,1
BT71 6BX,4,2018-11-05,2018-11-05,1
BT75 0ND,4,2018-11-05,2018-11-05,1
BT70 1HX,4,2018-11-05,2018-11-05,1
BT60 3RL,4,2018-11-05,2018-11-05,1
BT70 2EY,4,2018-11-05,2018-11-05,1
BT60 4QT,4,2018-11-05,2018-11-05,1
BT60 1TA,4,2018-11-05,2018-11-05,1
BT71 7SL,4,2018-11-05,2018-11-05,1
BT71 4AU,4,2018-11-05,2018-11-05,1
BT69 6AF,4,2018-11-05,2018-11-05,1
BT60 3TU,4,2018-11-05,2018-11-05,1
BT62 2AN,4,2018-11-05,2018-11-05,1
BT70 1HW,4,2018-11-05,2018-11-05,1
BT71 4LS,4,2018-11-05,2018-11-05,1
BT61 9PD,4,2018-11-05,2018-11-05,1
BT61 7QG,4,2018-11-05,2018-11-05,1
BT70 1HN,4,2018-11-05,2018-11-05,1
BT71 4LP,4,2018-11-05,2018-11-05,1
BT35 9HD,4,2018-11-05,2018-11-05,1
BT34 4TH,4,2018-11-05,2018-11-05,1
BT35 8JT,4,2018-11-05,2018-11-05,1
BT34 3HS,4,2018-11-05,2018-11-05,1
BT34 5LY,4,2018-11-05,2018-11-05,1
BT35 0PB,4,2018-11-05,2018-11-05,1
BT34 3JD,4,2018-11-05,2018-11-05,1
BT35 6BW,4,2018-11-05,2018-11-05,1
BT35 9RA,4,2018-11-05,2018-11-05,1
BT35 7DA,4,2018-11-05,2018-11-05,1
BT34 5QH,4,2018-11-05,2018-11-05,1
BT35 0BE,4,2018-11-05,2018-11-05,1
BT35 9JJ,4,2018-11-05,2018-11-05,1
BT34 3NE,4,2018-11-05,2018-11-05,1
BT34 4DN,4,2018-11-05,2018-11-05,1
BT34 4BH,4,2018-11-05,2018-11-05,1
BT65 5BE,4,2018-11-05,2018-11-05,1
BT94 1EH,5,2018-11-05,2018-11-05,1
BT74 6NN,5,2018-11-05,2018-11-05,1
BT92 0FP,5,2018-11-05,2018-11-05,1
BT93 3FY,5,2018-11-05,2018-11-05,1
BT92 9LB,5,2018-11-05,2018-11-05,1
BT93 6HW,5,2018-11-05,2018-11-05,1
BT94 4JG,5,2018-11-05,2018-11-05,1
BT92 1BZ,5,2018-11-05,2018-11-05,1
BT48 7NN,5,2018-11-05,2018-11-05,1
BT47 4AB,5,2018-11-05,2018-11-05,1
BT82 9AF,5,2018-11-05,2018-11-05,1
BT48 7DH,5,2018-11-05,2018-11-05,1
BT47 4TD,5,2018-11-05,2018-11-05,1
BT48 7NY,5,2018-11-05,2018-11-05,1
BT82 0NB,5,2018-11-05,2018-11-05,1
BT48 9DN,5,2018-11-05,2018-11-05,1
BT49 0TE,5,2018-11-05,2018-11-05,1
BT47 4RS,5,2018-11-05,2018-11-05,1
BT48 7GW,5,2018-11-05,2018-11-05,1
BT81 7AZ,5,2018-11-05,2018-11-05,1
BT48 7ER,5,2018-11-05,2018-11-05,1
BT82 8AS,5,2018-11-05,2018-11-05,1
BT48 8NL,5,2018-11-05,2018-11-05,1
BT48 6LD,5,2018-11-05,2018-11-05,1
BT48 7EE,5,2018-11-05,2018-11-05,1
BT47 6AH,5,2018-11-05,2018-11-05,1
BT47 3AB,5,2018-11-05,2018-11-05,1
BT49 0NA,5,2018-11-05,2018-11-05,1
BT78 2BB,5,2018-11-05,2018-11-05,1
BT78 4SB,5,2018-11-05,2018-11-05,1
BT78 4QY,5,2018-11-05,2018-11-05,1
BT79 9JR,5,2018-11-05,2018-11-05,1
BT78 3AU,5,2018-11-05,2018-11-05,1
BT79 8DL,5,2018-11-05,2018-11-05,1
